City,County,School District,Scope,Category,Notes,Feed Name,Feed Format,Valid,Status Code,Feed URL
Everett,Snohomish,Everett School District,city,Community Events,Direct RSS Feed (/RSSFeed.aspx?ModID=58&MainCatID=1),Everett RSS Feed,rss,Yes,200,https://www.everettwa.gov/RSSFeed.aspx?ModID=58&MainCatID=1
Gold Bar,Snohomish,Sultan School District,city,Municipal RSS,Scraped RSS via homepage,Gold Bar RSS Feed,rss,Yes,200,https://cityofgoldbar.us/comments/feed/
Gold Bar,Snohomish,Sultan School District,city,Municipal RSS,Scraped RSS via /events,Gold Bar RSS Feed,rss,Yes,200,https://cityofgoldbar.us/events/feed/
Gold Bar,Snohomish,Sultan School District,city,Municipal RSS,Scraped RSS via homepage,Gold Bar RSS Feed,rss,Yes,200,https://cityofgoldbar.us/feed/
Lake Stevens,Snohomish,Lake Stevens School District,city,Municipal RSS,Direct RSS Feed (/RSSFeed.aspx?ModID=1&MainCatID=1),Lake Stevens RSS Feed,rss,Yes,200,https://www.lakestevenswa.gov/RSSFeed.aspx?ModID=1&MainCatID=1
Lake Stevens,Snohomish,Lake Stevens School District,city,Community Events,Direct RSS Feed (/RSSFeed.aspx?ModID=58&MainCatID=1),Lake Stevens RSS Feed,rss,Yes,200,https://www.lakestevenswa.gov/RSSFeed.aspx?ModID=58&MainCatID=1
Lynnwood,Snohomish,Edmonds School District,city,Video Stream,Discovered Swagit Vendor Subdomain Matrix,Lynnwood Swagit Meeting Portal,swagit,Yes,200,https://lynnwoodwa.new.swagit.com
Lynnwood,Snohomish,Edmonds School District,city,Video Stream,Discovered Swagit Vendor Subdomain Matrix,Lynnwood Swagit Meeting Portal,swagit,Yes,200,https://lynnwoodwa.swagit.com
Marysville,Snohomish,Marysville School District,city,City Council,Discovered CivicClerk Meeting Portal,Marysville CivicClerk Portal,external_link,Yes,200,https://marysvillewa.civicclerk.com
Marysville,Snohomish,Marysville School District,city,Video Stream,Targeted Override (GRANICUS),Marysville Official Granicus Portal,granicus,Yes,200,https://marysville.granicus.com/ViewPublisher.php?view_id=2
Marysville,Snohomish,Marysville School District,city,Municipal RSS,Direct RSS Feed (/RSSFeed.aspx?ModID=1&MainCatID=1),Marysville RSS Feed,rss,Yes,200,https://www.marysvillewa.gov/RSSFeed.aspx?ModID=1&MainCatID=1
Marysville,Snohomish,Marysville School District,city,Community Events,Direct RSS Feed (/RSSFeed.aspx?ModID=58&MainCatID=1),Marysville RSS Feed,rss,Yes,200,https://www.marysvillewa.gov/RSSFeed.aspx?ModID=58&MainCatID=1
Marysville,Snohomish,Marysville School District,school,Video Stream,Discovered Official YouTube Channel (@ucwkk1wai6p7jjk3_-exf2ng) [Live Stream & Embed URL],Marysville School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/@ucwkk1wai6p7jjk3_-exf2ng
Marysville,Snohomish,Marysville School District,school,Video Stream,Discovered Official YouTube Channel (@ucwkk1wai6p7jjk3_-exf2ng) [Harvester Atom RSS Feed],Marysville School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/@ucwkk1wai6p7jjk3_-exf2ng
Monroe,Snohomish,Monroe School District,city,Municipal RSS,Direct RSS Feed (/RSSFeed.aspx?ModID=1&MainCatID=1),Monroe RSS Feed,rss,Yes,200,https://www.monroewa.gov/RSSFeed.aspx?ModID=1&MainCatID=1
Monroe,Snohomish,Monroe School District,city,Community Events,Direct RSS Feed (/RSSFeed.aspx?ModID=58&MainCatID=1),Monroe RSS Feed,rss,Yes,200,https://www.monroewa.gov/RSSFeed.aspx?ModID=58&MainCatID=1
Mountlake Terrace,Snohomish,Edmonds School District,city,Municipal RSS,Direct RSS Feed (/RSSFeed.aspx?ModID=1&MainCatID=1),Mountlake Terrace RSS Feed,rss,Yes,200,https://www.cityofmlt.com/RSSFeed.aspx?ModID=1&MainCatID=1
Mountlake Terrace,Snohomish,Edmonds School District,city,Community Events,Direct RSS Feed (/RSSFeed.aspx?ModID=58&MainCatID=1),Mountlake Terrace RSS Feed,rss,Yes,200,https://www.cityofmlt.com/RSSFeed.aspx?ModID=58&MainCatID=1
Mukilteo,Snohomish,Mukilteo School District,city,Video Stream,Discovered Granicus View ID 4,Mukilteo Granicus Meeting Stream,granicus,Yes,200,https://mukilteowa.gov/325/Meeting-Agendas-Minutes-Audio-Video
Mukilteo,Snohomish,Mukilteo School District,city,Municipal RSS,Direct RSS Feed (/RSSFeed.aspx?ModID=1&MainCatID=1),Mukilteo RSS Feed,rss,Yes,200,https://mukilteowa.gov/RSSFeed.aspx?ModID=1&MainCatID=1
Mukilteo,Snohomish,Mukilteo School District,city,Community Events,Direct RSS Feed (/RSSFeed.aspx?ModID=58&MainCatID=1),Mukilteo RSS Feed,rss,Yes,200,https://mukilteowa.gov/RSSFeed.aspx?ModID=58&MainCatID=1
